,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
0,Female,White,4.0,3,2,1,0,2,1,-9,6,6,1
1,Male,White,3.5,4,1,2,2,5,4,-9,5,5,1
2,Female,Black,4.0,3,1,2,0,2,2,-3,5,5,0
3,Female,White,4.0,4,3,4,1,3,3,-9,5,5,0
4,Male,White,3.3,4,1,2,0,3,3,-9,5,5,1
5,Male,White,3.8,4,3,1,3,3,3,-9,5,5,0
6,Male,White,2.5,2,2,0,0,3,1,-9,2,4,0
7,Male,White,3.3,3,0,1,2,3,2,-9,5,5,0
8,Male,Black,9.9,9,3,4,1,99,8,-3,99,99,0
9,Male,White,2.8,4,2,4,4,3,4,-9,5,3,0
10,Female,Black,2.0,9,99,99,99,3,8,-3,4,3,0
11,Female,White,3.3,4,1,2,1,4,4,-9,6,6,1
12,Male,White,3.3,4,2,3,4,3,3,-9,6,6,0
13,Male,White,2.3,4,2,0,1,3,2,-9,6,6,1
14,Female,Black,9.9,9,99,99,99,99,8,-9,99,99,1
15,Female,Black,2.8,3,1,1,0,2,2,-9,5,5,0
16,Female,White,3.3,4,2,1,1,6,4,-9,6,6,1
17,Female,White,4.0,3,5,5,0,3,2,-9,7,5,0
18,Female,White,3.0,1,0,1,0,3,3,-9,98,98,1
19,Female,White,3.8,4,3,5,1,3,1,-9,5,5,1
20,Female,White,3.3,2,1,4,4,4,4,-9,98,98,0
21,Male,White,3.8,4,1,1,1,3,3,-9,6,6,1
22,Female,White,3.0,2,2,3,0,3,2,-3,6,5,0
23,Male,White,2.0,1,1,0,0,4,3,-9,98,3,0
24,Male,White,4.0,4,2,0,2,3,3,-9,7,5,1
25,Female,White,4.0,4,3,1,2,3,2,-9,5,5,1
26,Female,White,3.5,3,0,1,0,4,4,-9,98,98,1
27,Female,White,2.8,9,1,1,0,3,3,-9,5,5,0
28,Male,White,4.0,4,2,6,1,4,4,-9,5,5,1
29,Female,White,3.5,4,4,5,1,5,4,-9,5,5,1
30,Male,White,3.3,4,2,2,4,5,4,-9,6,6,0
31,Male,White,3.3,4,3,4,2,4,4,-9,6,5,1
32,Female,White,2.3,2,2,1,4,3,2,-9,4,5,0
33,Female,White,2.5,2,2,3,3,5,4,-9,5,5,1
34,Female,White,3.5,3,1,5,0,4,2,-9,6,5,0
35,Male,White,3.0,4,3,2,4,5,4,-9,5,5,1
36,Male,White,2.5,2,5,3,3,2,2,-9,5,5,1
37,Male,White,3.8,2,3,3,1,3,2,-9,4,4,0
38,Female,White,3.3,3,4,5,4,2,2,-9,5,5,1
39,Female,White,3.8,4,3,5,2,5,4,-9,5,5,1
40,Female,White,2.8,3,3,2,0,4,2,-9,6,7,1
41,Female,White,3.5,4,1,3,3,3,1,-9,5,5,1
42,Male,White,2.8,4,3,2,1,3,2,-9,5,5,0
43,Female,White,4.0,9,99,99,99,3,8,-9,5,5,1
44,Male,White,2.5,2,0,2,2,2,3,-3,2,2,0
45,Male,White,3.8,4,4,2,4,3,3,-9,5,4,0
46,Male,White,3.5,3,0,6,3,5,4,-9,6,6,1
47,Female,Black,2.0,2,1,2,3,3,1,-9,5,6,0
48,Male,White,3.3,3,0,5,2,3,3,-9,6,6,1
49,Male,White,3.0,1,2,1,3,4,3,-9,7,7,0
50,Male,White,2.3,3,1,5,4,3,4,-3,6,5,0
51,Female,White,2.5,2,2,1,0,3,2,-9,98,98,1
52,Male,White,4.0,4,3,6,2,5,4,-9,5,5,0
53,Male,White,3.8,4,3,4,2,4,4,-9,5,5,0
54,Male,White,9.8,1,7,0,0,3,2,-3,7,7,0
55,Male,White,3.3,2,1,1,98,2,3,-3,5,5,0
56,Male,White,3.5,3,3,1,4,1,1,-9,6,6,1
57,Male,White,3.3,3,2,0,0,3,2,-9,5,5,0
58,Female,White,4.0,3,3,3,4,2,2,-9,5,5,0
59,Female,White,3.0,2,1,2,0,2,2,-3,5,3,1
60,Female,White,2.8,9,0,3,1,3,3,-9,5,5,1
61,Male,White,3.0,4,3,1,2,3,3,-3,6,6,1
62,Male,White,3.0,4,2,4,4,4,4,-9,4,4,0
63,Male,White,3.3,2,7,5,2,2,2,-9,5,5,1
64,Female,White,3.0,4,1,6,0,6,4,-9,6,6,1
65,Male,White,3.8,4,4,3,0,2,3,-3,4,4,0
66,Female,White,2.5,1,3,2,4,2,1,-9,5,5,1
67,Female,White,2.8,1,2,1,3,3,1,-9,5,2,0
68,Male,White,3.5,9,99,99,99,6,8,-3,6,6,0
69,Female,White,9.9,9,3,3,0,99,8,-9,99,99,0
70,Female,Black,3.5,2,1,96,3,3,1,-9,98,98,1
71,Male,White,2.8,9,99,99,99,3,8,-9,5,5,0
72,Female,White,2.8,3,2,3,2,3,1,-9,5,6,0
73,Female,Black,3.0,2,1,3,0,3,4,-9,98,98,1
74,Female,White,2.8,2,1,1,1,2,2,-9,2,2,1
75,Female,White,2.3,3,1,2,2,3,4,-9,6,6,0
76,Female,White,3.0,4,2,2,4,3,3,-9,6,6,1
77,Male,White,3.8,4,4,2,4,3,3,-9,5,4,0
78,Female,White,4.0,4,2,2,2,2,2,-9,6,6,1
79,Female,White,3.3,3,2,1,2,4,4,-9,5,5,0
